Codigo;Descripcion completa;Etapa;Area / Materia;Activo (visible en nuevas evaluaciones)
ING.1.2;Participar en situaciones de uso y en interacciones sencillas en una primera lengua extranjera a través de la participación en actividades lúdicas, respondiendo a las acciones que se les proponen y siguiendo instrucciones simples en tareas habituales, manifestando interés, curiosidad y respeto hacia la diversidad de perfiles lingüísticos presentes en el entorno, con el fin de avanzar en el uso de una lengua distinta a la propia y en el acercamiento a otras culturas.;Infantil;Inglés;Sí
ING.2.3;Comprender palabras y mensajes sencillos relacionados con las rutinas diarias y al contexto más próximo, en una primera lengua extranjera, con la finalidad de avanzar progresivamente en la utilización de dicha lengua.;Infantil;Inglés;Sí
ING.3.2;Progresar en la utilización de palabras y estructuras breves y sencillas, en una primera lengua extranjera, con la finalidad de explorar sus posibilidades expresivas en dicha lengua.;Infantil;Inglés;Sí
ING.5.3;Recitar sencillas canciones o rimas en una primera lengua extranjera con la adecuada entonación y pronunciación, con la finalidad de avanzar en la utilización de una primera lengua extranjera, mostrando interés por los aspectos socioculturales que transmite.;Infantil;Inglés;Sí
